epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,214.131,0.81904,0.71677,1.07637,0.73855,0.83427,0.87935,0.64667,1.15912,1.12723,1.41105,0.000660045,0.000660045,0.000660045
43,218.674,0.7931,0.73716,1.01587,0.91846,0.84248,0.87882,0.66288,1.04404,0.98309,1.31663,0.000649046,0.000649046,0.000649046
44,223.188,0.81032,0.76582,1.056,0.84491,0.84247,0.91056,0.68067,0.97612,0.8203,1.25768,0.000638047,0.000638047,0.000638047
45,227.746,0.76638,0.68352,1.02075,0.96018,0.86,0.955,0.72422,1.03432,0.74659,1.24737,0.000627048,0.000627048,0.000627048
46,232.376,0.75137,0.76666,1.03149,0.91048,0.9323,0.995,0.73678,1.14097,0.73328,1.24758,0.000616049,0.000616049,0.000616049
47,237.074,0.85349,0.66031,1.0413,0.81982,0.96873,0.995,0.77349,1.0264,0.74235,1.18644,0.000605051,0.000605051,0.000605051
48,241.81,0.72817,0.6845,1.04426,0.81965,0.98606,0.995,0.79604,0.92427,0.68578,1.16009,0.000594052,0.000594052,0.000594052
49,246.77,0.74018,0.68431,1.05386,0.96056,0.96453,0.995,0.77378,0.94764,0.61111,1.17844,0.000583053,0.000583053,0.000583053
50,251.741,0.71307,0.57958,1.00572,0.95731,1,0.995,0.75403,1.01943,0.54807,1.24479,0.000572054,0.000572054,0.000572054
51,256.422,0.75856,0.67804,1.05013,0.92756,0.97822,0.995,0.73717,1.08733,0.61709,1.28916,0.000561055,0.000561055,0.000561055
52,261.023,0.71632,0.68067,1.02704,0.9214,0.9717,0.995,0.74812,1.06403,0.59479,1.24594,0.000550056,0.000550056,0.000550056
53,265.701,0.76147,0.72254,1.0328,0.96987,0.92787,0.995,0.76753,0.97259,0.51451,1.17053,0.000539057,0.000539057,0.000539057
54,270.191,0.66565,0.6337,0.98687,0.96515,0.92479,0.995,0.7883,0.95597,0.53323,1.13164,0.000528058,0.000528058,0.000528058
55,274.841,0.66867,0.61792,1.03531,0.94828,0.91301,0.995,0.79042,1.02629,0.66762,1.14702,0.000517059,0.000517059,0.000517059
56,279.356,0.68149,0.59202,1.01234,0.85879,0.89938,0.9035,0.69651,1.04654,0.74643,1.16795,0.00050606,0.00050606,0.00050606
57,284.003,0.71258,0.69036,1.02972,0.82243,0.89364,0.912,0.70285,1.07138,0.88056,1.16533,0.000495062,0.000495062,0.000495062
58,288.607,0.61928,0.63303,0.9826,0.91089,0.9,0.9205,0.72677,1.01252,0.78384,1.07352,0.000484063,0.000484063,0.000484063
59,293.279,0.68777,0.59315,0.99648,0.89991,0.89552,0.9052,0.73528,0.93662,0.79194,1.04744,0.000473064,0.000473064,0.000473064
60,297.936,0.60619,0.58918,0.96998,0.88903,0.89786,0.90775,0.7448,0.86815,0.78061,1.00405,0.000462065,0.000462065,0.000462065
61,302.529,0.63913,0.60642,0.94026,0.85817,0.9,0.90775,0.74176,0.85067,0.80634,1.00257,0.000451066,0.000451066,0.000451066
62,307.175,0.71653,0.67993,1.04956,0.87735,0.9,0.90775,0.73528,0.89636,0.76587,1.03196,0.000440067,0.000440067,0.000440067
63,311.827,0.65156,0.57043,0.95575,0.94188,0.9,0.912,0.7201,0.93012,0.63967,1.07548,0.000429068,0.000429068,0.000429068
64,316.503,0.55578,0.48984,0.93106,0.97702,0.91052,0.995,0.75915,0.9001,0.55021,1.04861,0.000418069,0.000418069,0.000418069
65,321.407,0.59418,0.55532,0.98788,0.95992,0.91155,0.995,0.77173,0.90084,0.49781,1.07267,0.00040707,0.00040707,0.00040707
66,325.998,0.53704,0.47224,0.93186,0.95133,0.92562,0.995,0.77846,0.9156,0.49911,1.09191,0.000396071,0.000396071,0.000396071
67,330.625,0.54373,0.49317,0.94998,0.94979,0.93526,0.995,0.7968,0.91366,0.51542,1.09062,0.000385073,0.000385073,0.000385073
68,335.353,0.56874,0.49536,0.95953,0.91179,0.94941,0.995,0.79452,0.92674,0.53262,1.08769,0.000374074,0.000374074,0.000374074
69,339.947,0.56977,0.51993,0.96171,0.88438,0.97734,0.995,0.79037,0.91983,0.52913,1.08922,0.000363075,0.000363075,0.000363075
70,344.627,0.59515,0.54176,0.95916,0.89108,0.99255,0.995,0.77125,0.92213,0.50998,1.09451,0.000352076,0.000352076,0.000352076
71,349.588,0.59233,0.57085,0.98959,0.96758,0.93548,0.995,0.76054,0.93229,0.47121,1.09052,0.000341077,0.000341077,0.000341077
72,354.456,0.58022,0.52046,0.98053,0.96869,0.92866,0.995,0.75531,0.94008,0.46403,1.09019,0.000330078,0.000330078,0.000330078
73,359.348,0.51125,0.43592,0.91835,0.95171,0.94425,0.995,0.76181,0.93402,0.44132,1.08978,0.000319079,0.000319079,0.000319079
74,365.435,0.53825,0.4398,0.93935,0.94596,0.99048,0.995,0.76591,0.91469,0.42236,1.08714,0.00030808,0.00030808,0.00030808
75,370.411,0.53907,0.52322,0.95263,0.97254,0.99961,0.995,0.78292,0.91754,0.42222,1.09034,0.000297081,0.000297081,0.000297081
76,375.478,0.52135,0.4328,0.9237,0.97963,1,0.995,0.78746,0.91356,0.4218,1.09135,0.000286083,0.000286083,0.000286083
77,380.327,0.52699,0.45428,0.96978,0.95467,0.98867,0.995,0.79427,0.93246,0.43526,1.09908,0.000275084,0.000275084,0.000275084
78,385.428,0.53748,0.41435,0.9424,0.9209,0.9573,0.995,0.78336,0.94224,0.45658,1.11086,0.000264085,0.000264085,0.000264085
79,390.363,0.52282,0.46598,0.93457,0.93516,0.92912,0.995,0.786,0.95138,0.48692,1.11916,0.000253086,0.000253086,0.000253086
80,395.179,0.51181,0.45455,0.93715,0.92691,0.92989,0.985,0.7698,0.97061,0.5063,1.13752,0.000242087,0.000242087,0.000242087
81,399.978,0.4884,0.4891,0.93188,0.90925,0.93564,0.985,0.75009,0.99741,0.54078,1.15025,0.000231088,0.000231088,0.000231088
82,404.73,0.51469,0.47241,0.95704,0.87515,0.94471,0.985,0.75387,1.01328,0.57291,1.16118,0.000220089,0.000220089,0.000220089
83,409.473,0.5228,0.44697,0.93385,0.84809,0.96426,0.995,0.76872,1.00365,0.55483,1.15662,0.00020909,0.00020909,0.00020909
84,414.097,0.532,0.43608,0.93656,0.82848,0.98637,0.995,0.78681,0.97991,0.53549,1.14467,0.000198091,0.000198091,0.000198091
